"id","wid_15","wid_in_13","eq2_15","eqd1a_15","eqd2_15","eqd3_15","eqd4_15","eqd5_15","eqd6_15","eqd7_15","eqd8_15","eqd9_15","eqd10_15","eqd11_15","eqd12_15","eqd13_15","eqd14_15","eqe1_15","eqe2_15","eqe3_15","eqe4_15","eqe5_15","eqe6_15","eqe7_15","eqe8_15","eqe8a_15","eqe9_15","eqe9a_15","eqe10_15","eqe10a_15","eqe11_15","eqe12_15","eqe13_15","eqf1a_15","eqf1b_15","eqf1c_15","eqf2_15","eqf3_15","eqf4_15","eqg1a_15","eqg1b_15","eqg2a_15","eqg2b_15","eqg3a1_15","eqg3a2_15","eqg3b1_15","eqg3b2_15","eqg3c1_15","eqg3c2_15","eqg4_15","eqg5a_15","eqg5b_15","eqg6_15","eqg7_15","eqg8_15","eqg9a_15","eqg9b_15","eqg9c_15","eqg9d_15","eqg9e_15","eqg9f_15","eqg9g_15","eqg9h_15","eqg9i_15","eqg10a_15","eqg10b_15","eqg11_15","eqg12_15","eqg13_15","eqg14_15","eqh1_15","eqh2_15","eqi1_15","eqi2_15","eqi3_15","eqi4_15","eqi5_15","eqi6_15","eqi7_15","eqi8_15","eqj1a_15","eqj1ba_15","eqj1bb_15","eqj1bc_15","eqj1bd_15","eqj1be_15","eqj1bf_15","eqj1bg_15","eqk1a_15","eqk1b_15","eqk1c_15","eqk1d_15","eqk1f_15","eqk1e_15","eqk2a_15","eqk2b_15","eqk2c_15","eqk2d_15","eqk2e_15","eqk2f_15"
3331,2,2,"Ha Tay",2,"Production Worker","Other","Male",1963,"Yes","Yes",2005,"No","Rural","No","Married",2,"Kinh","High school",,,4,"Agriculture",3,"Agriculture",,,,,,,"No","No",,"Did not work",,,10,,,"Time rate","Cash",6,8,"Month",5000,"Month",2000,"Month",2000,"No","Same",,,,"No","No","Yes","No","No","No","No","No","No","No","No","No","Too few years to contribute","No",,,"Owner, who is a friend","None of the above","Yes",2007,"Yes",600,"Secures that employer pays social benifits","No","No",,,,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",80,6,2009,
3331,1,1,"Ha Tay",1,"Production Worker","Other","Male",1976,"Yes","Yes",2005,"Yes",,"Yes","Married",2,"Kinh","High school",,,4,"Agriculture",4,"Agriculture",,,,,,,"No","No",,"Did not work",,,10,,,"Time rate","Cash",6,8,"Month",4000,"Month",2000,"Month",2000,"No","Same",,,,"No","No","Yes","No","No","No","No","No","No","No","No","No","Too few years to contribute","No",,,"Owner, who is a friend","None of the above","Yes",2007,"Yes",480,"Secures that employer pays social benifits","No","No",,,,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",70,6,2009,
3335,2,9,"Ha Tay",9,"Production Worker","Relative of owner, but not living in the same HH","Female",1974,"Yes","No",2010,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,2,"Agriculture",1,"Manufacturing and Construction",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Agriculture",18,"Sufficient","Better salary","Time rate","Cash",5,8,"Month",3000,"Month",2200,"Month",2200,"Yes","Same","Yes","Yes",1000,"No","No","No","No","No","No","No","No","No","No","No","No","Other","No","No",,"Owner, who is a relative","None of the above","No",,,,,,"No",,"No","Most important",,"Third most important",,"Second most important",,,"No","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",120,5,2010,
3335,1,1,"Ha Tay",1,"Production Worker","Other","Male",1985,"Yes","No",2005,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,2,"Agriculture",2,"Manufacturing and Construction",0,,0,,1,2,"No","No",,"Production Worker","Other","Agriculture",8,"Sufficient","Better salary","Time rate","Cash",5,8,"Month",4500,"Month",3000,"Month",3000,"Yes","Higher","Yes","Yes",2000,"No","No","No","No","No","No","No","No","No","No","No","No","Other","No","No",,"Relative working in firm","None of the above","No",,,,,,"No",,"No","Second most important",,"Most important",,"Third most important",,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",150,10,2005,
3337,1,2,"Ha Tay",2,"Production Worker","Other","Male",1976,"Yes","No",2010,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,3,"Agriculture",3,"Agriculture",0,,0,,1,7,"No","No",,"Production Worker","Private firm","Manufacturing and Construction",10,"Sufficient","Other","Time rate","Cash",7,9,"Month",5000,"Month",3500,,,"No","Higher","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","Yes","Yes","Other","None of the above",,,,,,,,,"Yes","Most important","Second most important","Third most important",,,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",60,10,2005,
3337,2,9,"Ha Tay",9,"Production Worker","Other","Male",1971,"Yes","No",2010,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,3,"Agriculture",3,"Agriculture",0,,0,,1,7,"No","No",,"Production Worker","Private firm","Manufacturing and Construction",15,"Sufficient","Other","Time rate","Cash",7,9,"Month",5000,"Month",3500,,,"No","Higher","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","Yes","Yes","Other","None of the above",,,,,,,,,"Yes","Most important","Second most important","Third most important",,,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",50,44,,2010
3337,3,9,"Ha Tay",9,"Service Worker","Relative of owner, but not living in the same HH","Female",1975,"Yes","No",2010,"Yes",,"Yes","Married",2,"Kinh","High school",,,3,"Agriculture",3,"Agriculture",0,,0,,0,,"Don't know","No",,"Service Worker","Other","Services",11,"Sufficient","Other","Time rate","Cash",7,9,"Month",4000,"Month",3000,,,"No","Higher","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","Yes","Yes","Other","None of the above",,,,,,,,,"Yes","Second most important","Third most important","Most important",,,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",60,15,,2009
3340,1,2,"Ha Tay",2,"Production Worker","Other","Male",1980,"Yes","Yes",2012,"Yes",,"Yes","Married",2,"Kinh","Technical level without certificate",,,3,"Agriculture",1,"Agriculture",0,,0,,1,90,"No","No",,"Production Worker","Private firm","Manufacturing and Construction",9,"Sufficient","Closer to home","Time rate","Cash",6,8,"Month",4000,"Month",1000,"Month",2000,"No","Same",,"Yes",3000,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","Yes","Yes","Friend/acquaintance working in firm","None of the above",,,,,,,,,"No",,"Most important","Second most important","Third most important",,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",70,3,2005,
3340,2,9,"Ha Tay",9,"Production Worker","Other","Male",1985,"Yes","Yes",2014,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,2,"Agriculture",2,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Agriculture",3,"Not sufficient","Better salary","Time rate","Cash",6,8,"Month",4000,"Month",2500,,,"No","Same",,"Yes",1000,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","Yes","Yes","Other","None of the above",,,,,,,,,"No",,"Most important","Second most important","Third most important",,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",85,5,2010,
3362,3,9,"Ha Tay",9,"Service Worker","Other","Female",1982,"Yes","No",2011,"Yes",,"Yes","Married",2,"Kinh","High school",,,4,"Agriculture",4,"Agriculture",0,,0,,0,,"Don't know","No",,"Service Worker","Other","Services",3,"Sufficient","Other","Time rate","Cash",5,8,"Month",4500,"Month",3500,,,"No","Higher","Yes",,,"No","No","Yes","No","No","No","No","No","No","No","No","No","Not necessary at moment","Yes","No",,"Other","None of the above",,,,,,,,,"Yes",,,,,,,,"No","Yes","Yes","No","No","Yes","No","Permanent self-contained house",80,11,,2010
3362,1,2,"Ha Tay",2,"Production Worker","Other","Male",1985,"Yes","No",2010,"Yes",,"Yes","Married",1,"Kinh","High school",,,4,"Agriculture",4,"Agriculture",0,,0,,1,4,"No","No",,"Did not work",,,5,,,"Time rate","Cash",5,8,"Month",7000,"Month",4000,,,"No","Higher","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","Yes","No",,"Friend/acquaintance working in firm","None of the above",,,,,,,,,"Yes",,,,,,,,"No","Yes","Yes","No","No","Yes","No","Permanent self-contained house",180,30,,2009
3362,2,9,"Ha Tay",9,"Production Worker","Other","Male",1975,"Yes","No",2011,"Yes",,"Yes","Married",2,"Kinh","High school",,,4,"Agriculture",4,"Agriculture",0,,0,,1,4,"No","No",,"Production Worker","Other","Manufacturing and Construction",10,"Sufficient","Better salary","Time rate","Cash",5,8,"Month",5000,"Month",4000,,,"No","Higher","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","Yes","No",,"Other","None of the above",,,,,,,,,"Yes",,,,,,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",240,10,2005,
3391,2,2,"Ha Tay",2,"Production Worker","Other","Female",1992,"Yes","No",2006,"Yes",,"Yes","Married",1,"Kinh","High school",,,4,"Agriculture",3,"Agriculture",,,,,,,"No","No",,"Did not work",,,9,,,"Combined","Combined",6,7,"Month",4000,"Month",3000,,,"No","Same",,,,"No",,,,,,,,,,"No","No","Procedures too complicated","No",,,"Owner, who is a friend","None of the above",,,,,,,,,"No",,,,,,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",100,20,1995,
3391,1,1,"Ha Tay",1,"Production Worker","Member of Owners HH","Female",1975,"Yes","No",2006,"Yes",,"Yes","Married",3,"Kinh","Secondary school",,,4,"Agriculture",3,"Agriculture",,,,,,,"No","No",,"Did not work",,,9,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,"No","No","Procedures too complicated","No",,,,"None of the above",,,,,,,,,"No",,,,,,,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",80,9,2006,
3391,3,3,"Ha Tay",3,"Production Worker","Other","Female",1993,"Yes","No",2006,"Yes",,"Yes","Not married",0,"Kinh","High school",,,4,"Agriculture",3,"Agriculture",,,,,,,"No","No",,"Did not work",,,9,,,"Combined","Combined",6,7,"Month",4000,"Month",3000,,,"No","Same",,,,"No",,,,,,,,,,"No","No","Procedures too complicated","No",,,"Owner, who is a friend","None of the above",,,,,,,,,"No",,,,,,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",120,13,2002,
3403,1,1,"Hai Phong",1,"Professional Worker","Other","Male",1979,"Yes","Yes",2000,"No","Rural","No","Married",1,"Kinh","High school",,,4,"Manufacturing and Construction",4,"Services",1,5,0,,1,5,"No","No",,"Did not work",,,15,,,"Time rate","Cash",6,8,"Month",3000,"Month",2500,"Month",2500,"No","Same","No","Yes",1000,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes","Yes","Yes","Other","Interview","Yes",2000,"Yes",30,"Secures that employer pays social benifits","No","No",,"No",,"Most important",,"Second most important",,"Third most important",,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",80,8,2007,2013
3403,2,2,"Hai Phong",2,"Office Worker","Other","Female",1989,"Yes","Yes",2010,"Yes",,"Yes","Married",2,"Kinh","Technical level without certificate",,,4,"Services",4,"Services",1,5,0,,1,5,"No","No",,"Did not work",,,5,,,"Time rate","Cash",6,8,"Month",4000,"Month",3000,"Month",3000,"No","Same","No","Yes",1000,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes","Yes","Yes","Other","Interview","Yes",2010,"Yes",30,"Secures that employer pays social benifits","No","No",,"No",,"Most important",,"Second most important",,"Third most important",,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",110,7,2008,2014
3446,1,9,"Ha Tay",9,"Production Worker","Other","Male",1972,"No","No",2013,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,1,"Agriculture",2,"Agriculture",0,,0,,2,5,"No","No",,"Did not work",,,2,,,"Time rate","Cash",6,8,"Day",25,"Day",25,"Day",25,"Yes","Same",,,,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,"Other","None of the above",,,,,,,,,"No",,,"Second most important",,"Third most important","Most important",,"No","No","No","No","No","No","Yes","Permanent self-contained house",120,18,1997,
3446,2,9,"Ha Tay",9,"Production Worker","Other","Male",1976,"No","No",2014,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,1,"Agriculture",1,"Agriculture",0,,0,,1,5,"No","No",,"Did not work",,,1,,,"Time rate","Cash",6,8,"Day",25,"Day",25,"Day",25,"Yes","Same",,,,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,"Other","None of the above",,,,,,,,,"No",,,"Second most important",,"Third most important","Most important",,"No","No","No","No","No","No","Yes","Permanent self-contained house",80,10,2005,
3448,2,2,"Ha Tay",2,"Office Worker","Relative of owner, but not living in the same HH","Female",1961,"Yes","Yes",2004,"Yes",,"Yes","Married",2,"Kinh","College",5134,2000,4,"Services",4,"Services",0,,0,,0,,"Don't know","No",,"Production Worker","Private firm","Manufacturing and Construction",20,"More than sufficient","Better working condition","Time rate","Cash",6,8,"Month",4000,"Month",3000,"Month",3000,,"Higher","Yes","Yes",2000,"No","No","No","No","No","No","No","No","No","No","No","No","I prefer to save up myself","No",,,"Owner, who is a relative","None of the above",,,,,,,,,"No","Third most important",,,"Most important",,"Second most important",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",150,12,2003,
3448,3,3,"Ha Tay",3,"Production Worker","Relative of owner, but not living in the same HH","Female",1960,"Yes","Yes",2004,"Yes",,"Yes","Married",2,"Kinh","High school",,,3,"Services",3,"Services",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Agriculture",26,"Not sufficient","Better for health","Combined","Cash",6,8,"Month",3500,"Month",1000,,,"Yes","Higher","Yes","Yes",1000,"No","No","No","No","No","No","No","No","No","No","No","No","I prefer to save up myself","No",,,"Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)",,,,,,,,,"No","Third most important",,,"Most important",,"Second most important",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",100,10,1983,2009
3448,1,1,"Ha Tay",1,"Sales Worker","Other","Female",1981,"Yes","Yes",2005,"Yes",,"Yes","Married",2,"Kinh","College",5134,2003,4,"Services",4,"Services",0,,0,,0,,"Don't know","No",,"Professional Worker (Requires Uni Degree)","Private firm","Services",2,"Not sufficient","Better working condition","Time rate","Cash",6,8,"Month",4000,"Month",1500,,,"Yes","Higher","Yes","Yes",2000,"No","No","No","No","No","No","No","No","No","No","No","No","I prefer to save up myself","No",,,"Owner, who is a relative","Interview",,,,,,,,,"No","Third most important",,,"Most important",,"Second most important",,,"Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",80,9,1990,2003
3480,1,9,"Ha Tay",9,"Production Worker","Member of Owners HH","Male",1976,"Yes","Yes",2007,"Yes",,"Yes","Married",2,"Kinh","High school",,,2,"Agriculture",2,"Agriculture",3,3,13,3,3,30,"Yes after on-the-job training","No",,"Did not work",,,8,,,,,6,8,,,,,,,,,,,,,"Yes","No","No",,"No",,"No","Yes","No","No","No","Not necessary at moment","Yes",,,,"None of the above",,,,,,,,,"Yes","Second most important",,"Most important","Third most important",,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",100,39,1975,
3481,4,9,"Ha Tay",9,"Office Worker","Other","Female",1987,"Yes","Yes",2014,"No","Rural","No","Married",0,"Kinh","University and higher",5246,2009,8,"Manufacturing and Construction",8,"Services",5,15,0,,5,15,"Yes after on-the-job training","Yes","Yes","Office Worker","Private firm","Manufacturing and Construction",1,"Sufficient","Better working condition","Time rate","Cash",6,8,"Month",6000,"Month",4000,"Month",4000,"Yes","Higher","Yes","Yes",3000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes",,,"Through employment agency","Interview",,,,,,,,,"No","Second most important",,,,"Most important","Third most important",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",50,2,2008,
3481,5,4,"Ha Tay",4,"Service Worker","Other","Female",1973,"Yes","Yes",2005,"Yes",,"Yes","Married",2,"Kinh","Vocational college",5051,1994,4,"Agriculture",4,"Agriculture",2,20,0,,2,20,"Yes after on-the-job training","Yes","Yes","Production Worker","Private firm","Manufacturing and Construction",1,"Sufficient","Better working condition","Combined","Cash",6,8,"Month",5000,"Month",2000,"Month",2000,"Yes","Higher","Yes","Yes",3000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes",,,"Relative working in firm","On-the-job test (carried out by experienced worker)",,,,,,,,,"No","Second most important",,,,"Most important","Third most important",,"Yes","Yes","Yes","Yes","No","Yes","No","Permanent self-contained house",70,5,2010,
3481,7,6,"Ha Tay",6,"Production Worker","Other","Male",1984,"Yes","Yes",2002,"No","Rural","No","Married",2,"Kinh","College",5151,2006,10,"Manufacturing and Construction",8,"Manufacturing and Construction",2,20,0,,2,20,"Yes after on-the-job training","Yes","Yes","Production Worker","Private firm","Manufacturing and Construction",1,"Sufficient","Better use of skills/experience","Combined","Cash",6,8,"Month",6000,"Month",2200,"Month",2200,"Yes","Higher","Yes","Yes",3000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes",,,"Relative working in firm","On-the-job test (carried out by experienced worker)",,,,,,,,,"No","Second most important",,,,"Most important","Third most important",,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",80,5,2010,
3481,2,2,"Ha Tay",2,"Manager","Other","Male",1972,"Yes","Yes",2003,"Yes",,"Yes","Married",2,"Kinh","University and higher",5251,1995,4,"Services",4,"Services",2,15,0,,2,15,"Yes after on-the-job training","Yes","Yes","Manager","Private firm","Manufacturing and Construction",1,"More than sufficient","Better working condition","Time rate","Cash",6,8,"Month",12000,"Month",3500,"Month",10000,"Yes","Higher","Yes","Yes",5000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes",,,"Friend/acquaintance working in firm","Interview",,,,,,,,,"No","Second most important",,,,"Most important","Third most important",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",140,8,2007,
3481,6,9,"Ha Tay",9,"Sales Worker","Other","Male",1981,"Yes","Yes",2008,"Yes",,"Yes","Married",2,"Kinh","University and higher",5234,2004,4,"Services",4,"Services",2,20,0,,2,20,"Yes after on-the-job training","Yes","Yes","Sales Worker","Private firm","Manufacturing and Construction",1,"Sufficient","Better working condition","Time rate","Cash",6,8,"Month",5000,"Month",2800,"Month",2800,"Yes","Higher","Yes","Yes",3000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes",,,"Relative working in firm","Interview",,,,,,,,,"No","Second most important",,,,"Most important","Third most important",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",80,6,2009,
3481,3,3,"Ha Tay",3,"Production Worker","Other","Male",1985,"Yes","Yes",2009,"No","Rural","No","Married",2,"Kinh","College",5151,2007,4,"Agriculture",4,"Agriculture",3,20,0,,3,20,"Yes after on-the-job training","Yes","Yes","Production Worker","Private firm","Manufacturing and Construction",2,"Sufficient","Better working condition","Combined","Cash",6,8,"Month",6000,"Month",3000,"Month",3000,"Yes","Higher","Yes","Yes",3000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes",,,"Through employment agency","On-the-job test (carried out by experienced worker)",,,,,,,,,"No","Second most important",,,,"Most important","Third most important",,"Yes","Yes","Yes","Yes","No","Yes","No","Permanent self-contained house",80,8,2007,
3481,1,1,"Ha Tay",1,"Professional Worker","Other","Female",1975,"Yes","Yes",2007,"Yes",,"Yes","Married",2,"Kinh","University and higher",5246,2007,4,"Services",4,"Services",2,15,0,,2,15,"Yes after on-the-job training","Yes","Yes","Professional Worker (Requires Uni Degree)","Private firm","Manufacturing and Construction",1,"Sufficient","Better use of skills/experience","Time rate","Cash",6,8,"Month",7000,"Month",3000,"Month",3000,"Yes","Higher","Yes","Yes",3000,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Other","Yes",,,"Friend/acquaintance working in firm","Interview",,,,,,,,,"No","Second most important",,,,"Most important","Third most important",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",70,10,2005,
3531,1,9,"Phu Tho",9,"Production Worker","Other","Male",1983,"Yes","No",2012,"Yes",,"Yes","Married",2,"Kinh","Vocational elementary",2251,2010,3,"Agriculture",3,"Agriculture",,,0,,1,30,"No","No",,"Production Worker","Private firm","Manufacturing and Construction",2,"Sufficient","Better salary","Combined","Cash",6,8,"Month",5000,"Month",3000,"Month",3000,"No","Same","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","Yes","Yes","Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,,,"No","Third most important",,"Most important",,"Second most important",,,"Yes","Yes","Yes","No","No","Yes","Yes","semi-permanent house",80,26,1989,2015
3544,1,9,"Phu Tho",9,"Production Worker","Other","Male",1981,"Yes","No",2008,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,4,"Agriculture",4,"Agriculture",0,,0,,,,"No","No",,"Production Worker","Other","Agriculture",1,"Sufficient","Better salary","Time rate","Cash",2,8,"Month",3500,"Month",2000,,,"Yes","Higher","Yes","Yes",300,"No","No","No","No","No","No","No","No","No","No","No","Yes","Not necessary at moment","No","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Yes",,"Yes","No","semi-permanent house",120,6,2009,
3566,1,1,"Phu Tho",1,"Manager","Owner","Male",1953,"Yes","No",1990,"Yes",,"Yes","Married",2,"Kinh"," Professional secondary",4251,1974,2,"Agriculture",2,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Government","Manufacturing and Construction",14,"More than sufficient","Other",,,6,3,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","Yes","Yes","Other","None of the above",,,,,,,,,,,,"Most important","Second most important",,,,"No","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",100,27,1987,2009
3584,1,9,"Phu Tho",9,"Production Worker","Member of Owners HH","Female",1985,"Yes","No",1995,"Yes",,"No","Married",2,"Kinh","Secondary school",,,3,"Agriculture",3,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Agriculture",1,"More than sufficient","Better working condition",,,2,7,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","I prefer to save up myself","No","No",,,"None of the above",,,,,,,,,"No",,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","semi-permanent house",300,20,1975,1992
3629,1,9,"Phu Tho",9,"Production Worker","Other","Female",1976,"Yes","Yes",1995,"Yes",,"No","Married",2,"Kinh","High school",,,4,"Services",8,"Services",0,,0,,1,7,"Yes after on-the-job training","No",,"Production Worker","Other","Agriculture",10,"Sufficient","Better salary","Time rate","Cash",2.5,8,"Month",3500,"Month",2500,,,"Yes","Higher","Yes","Yes",300,"No","No","No","No","No","No","No","No","No","No","No","Yes","I prefer to save up myself","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,"No",,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",100,15,2000,2002
3630,4,9,"Phu Tho",9,"Production Worker","Other","Female",1960,"Yes","Yes",2014,"Yes",,"Yes","Married",3,"Kinh","Secondary school",,,1,"Agriculture",2,"Agriculture",0,,0,,1,1,"No","No",,"Production Worker","Other","Agriculture",1,"Sufficient","Better salary","Time rate","Cash",6,8,"Month",3000,"Month",2500,,,"Yes","Higher","Yes","Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","I prefer to save up myself","Yes","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,,,,,,,"Most important","Second most important",,,"Yes","Yes","Yes","Yes","No","Yes","Yes","semi-permanent house",300,13,2002,
3630,2,9,"Phu Tho",9,"Production Worker","Other","Female",1962,"Yes","Yes",2014,"Yes",,"Yes","Married",3,"Kinh","High school",,,2,"Agriculture",2,"Agriculture",0,,0,,1,1,"No","No",,"Production Worker","Other","Agriculture",1,"Sufficient","Better salary","Time rate","Cash",6,8,"Month",3000,"Month",2500,,,"Yes","Higher","Yes","Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","Yes","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,,,,"Most important","Second most important","Third most important",,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","semi-permanent house",120,15,2000,
3630,1,9,"Phu Tho",9,"Production Worker","Other","Female",1960,"Yes","Yes",2013,"Yes",,"Yes","Married",3,"Kinh","High school",,,4,"Manufacturing and Construction",4,"Agriculture",0,,0,,1,1,"No","No",,"Production Worker","SOE","Manufacturing and Construction",1,"Sufficient","Other","Time rate","Cash",6,5,"Month",3000,"Month",2500,,,"Yes","Higher","Yes","Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","Too expensive","Yes","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,,,,"Most important","Second most important","Third most important",,,,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","semi-permanent house",200,6,2009,
3630,3,9,"Phu Tho",9,"Production Worker","Other","Male",1958,"Yes","Yes",2014,"Yes",,"Yes","Married",2,"Kinh","High school",,,2,"Agriculture",2,"Agriculture",0,,0,,1,1,"No","No",,"Production Worker","SOE","Manufacturing and Construction",1,"Sufficient","Better salary","Time rate","Cash",6,8,"Month",3000,"Month",2500,,,"Yes","Higher","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","Yes","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,,,,"Most important",,,,,,,"Yes","Yes","Yes","No","No","Yes","Yes","semi-permanent house",100,10,2005,
3630,5,9,"Phu Tho",9,"Production Worker","Other","Female",1955,"Yes","Yes",2014,"Yes",,"Yes","Married",4,"Kinh","High school",,,2,"Agriculture",1,"Agriculture",0,,0,,1,1,"No","No",,"Production Worker","SOE","Manufacturing and Construction",1,"Sufficient","Better salary","Time rate","Cash",6,8,"Month",3000,"Month",2500,,,"Yes","Higher","Yes","Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","I prefer to save up myself","Yes","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,,,,"Most important",,,"Second most important",,,,"Yes","Yes","Yes","No","No","Yes","Yes","semi-permanent house",100,26,1989,2009
3634,1,1,"Phu Tho",1,"Production Worker","Relative of owner, but not living in the same HH","Male",1990,"Yes","No",2006,"Yes",,"Yes","Not married",0,"Kinh"," Professional secondary",4251,2010,7,"Manufacturing and Construction",6,"Services",0,,0,,0,,"Don't know","No",,"Did not work",,,9,,,"Time rate","Cash",5,8,"Month",3500,,,,,"No","Higher","Yes","Yes",1000,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","semi-permanent house",135,7,2008,2012
3635,1,1,"Phu Tho",1,"Manager","Member of Owners HH","Female",1962,"Yes","No",1995,"Yes",,"Yes","Married",2,"Kinh","Primary school",,,1,"Agriculture",1,"Agriculture",1,60,0,,1,60,"No","No",,"Production Worker","Private firm","Manufacturing and Construction",13,"Sufficient","Better working condition",,,0,0,,,,,,,,,,,,,,,,,,,,,,"No","No","I prefer to save up myself","No","No",,,"None of the above",,,,,,,,,"No",,,,,,,,"Yes","Yes","Yes","No","No","Yes","No","semi-permanent house",110,5,2010,
