"id","wid_07","eq1_07","eqd2_07","eqd3_07","eqd4_07","eqd5_07","eqd6_07","eqd7_07","eqd8_07","eqd9_07","eqd10_07","eqd11_07","eqe1_07","eqe2_07","eqe3_07","eqe4_07","eqe5_07","eqe7_07","eqe8_07","eqf1a_07","eqf1b_07","eqf1c_07","eqf2_07","eqf3_07","eqg1_07","eqg2a_07","eqg2b_07","eqg3a_07","eqg3b_07","eqg4_07","eqg5_07","eqg6_07","eqg7_07","eqg8a_07","eqg8b_07","eqg8c_07","eqg8d_07","eqg9_07","eqg10_07","eqg11_07","eqh1_07","eqh2_07","eqi1_07","eqi2_07","eqi3_07","eqi4_07","eqi5_07","eqi6_07","eqj1a_07","eqj1b_07","eqj1c_07","eqj1d_07","eqj1e_07","eqj1f_07","eqj1g_07","eqj2_07","eqj3_07","eqj4_07","eqk1a_07","eqk1b_07","eqk1c_07","eqk1d_07","eqk1e_07","eqk2a_07","eqk2b_07","eqk2c_07","eqk2d_07","eqk2e_07","eqk2f_07"
2216,5,"Hai Phong","Service Worker","Other","Female",1976,"Yes",2000,"Yes","Yes","Urban","Married","High school",,,"No","Primary school","Primary school","Manufacturing and Construction","Did not work",,,,,"Time rate",6,8,"Month",1500,2,"Yes",100,"No","No","No","Yes","No","No","Yes","No","Through door to door visits","Interview","Yes",2000,"Yes",12,"More job security","No",,,"Third most important",,,"Most important","Second most important","No","Yes","Laid off","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",45,2,1992,2001
2216,2,"Hai Phong","Professional Worker","Other","Male",1969,"Yes",2003,"Yes","Yes","Urban","Married","College/University/post-graduate",5046,1993,"Yes","Secondary school","Primary school","Services","Did not work",,,,,"Time rate",6,8,"Month",2000,1,"Yes",100,"No","No","No","Yes","No","Yes","Yes","Yes","Owner, who is a relative","Interview","Yes",2003,"Yes",12,"More job security","No",,,"Third most important",,,"Most important","Second most important","No","Yes","Nothing","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",42,5,1999,2002
2228,6,"Hai Phong","Production Worker","Other","Male",1986,"Yes",2005,"Yes","Yes","Urban","Not married","High school",,,"Yes","Technical certificate/Elementary worker","Secondary school","Services","Did not work",,,,,"Time rate",6,8,"Day",50,1,"Yes",400,"No","No","No","No","No","No","Yes","Yes","Owner, who is a relative","None of the above",,,,,,,"Most important",,"Second most important","Third most important",,,,"No","No","Laid off","Yes","Yes","Yes","No","Yes","No",,,,,
2235,2,"Hai Phong","Professional Worker","Member of Owners HH","Male",1979,"Yes",2003,"Yes","Yes","Urban","Not married","College/University/post-graduate",5234,2003,"No","Technical worker/professional secondary","High school","Manufacturing and Construction","Did not work",,,,,"Other/Not paid",6,8,,,4,,,"No","Yes","No","Yes","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,"Most important","Second most important",,,"Third most important",,,"No","No","Laid off","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",90,21,1986,1996
2235,6,"Hai Phong","Production Worker","Other","Male",1965,"Yes",1998,"Yes","Yes","Urban","Married","Secondary school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better salary","Combined",6,8,"Month",1200,1,"Yes",200,"No","Yes","No","Yes","No","No","Yes","Yes","Owner, who is a relative","None of the above",,,,,,,"Most important","Second most important",,,"Third most important",,,"No","No","Laid off","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",60,22,1985,1999
2237,6,"Hai Phong","Production Worker","Other","Male",1979,"Yes",2002,"Yes","Yes","Urban","Married","Technical worker without certificate",2252,2002,"Yes","Technical certificate/Elementary worker","Secondary school","Services","Did not work",,,,,"Time rate",6,8,"Day",40,1,"Yes",400,"No","No","No","No","No","No","Yes","Yes","Other","None of the above",,,,,,,,,"Most important","Second most important",,,"Third most important","No","No","Laid off","Yes","Yes","Yes","No","Yes","No",,,,,
2241,4,"Hai Phong","Sales Worker","Member of Owners HH","Female",1936,"No",1987,"Yes","Yes","Urban","Married","Secondary school",,,"No","Secondary school","None","Agriculture","Production Worker","SOE","Agriculture","Sufficient","Closer to home","Other/Not paid",5,2,,,4,,,"No","No","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,"Second most important",,"Most important","Third most important",,,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
2248,6,"Hai Phong","Production Worker","Member of Owners HH","Male",1972,"Yes",1995,"Yes","Yes","Urban","Married","Primary school",,,"No","Secondary school","Secondary school","Services","Did not work",,,,,"Other/Not paid",7,11,,,4,,,"No","No","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,"Most important","Second most important","Third most important",,,"No","No","Don't know","Yes","Yes","No","No","Yes","No",,,,,
2250,6,"Hai Phong","Production Worker","Other","Male",1978,"Yes",2004,"No","No","Rural","Not married","Primary school",,,"No","None","None","Agriculture","Production Worker","Other","Manufacturing and Construction","Sufficient","Better salary","Time rate",7,8,"Month",1000,1,"Yes",100,"No","No","No","No","No","No","Yes","Yes","Friend/acquaintance working in firm","None of the above","No",,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Don't know","No","Yes","No","No","No","No",,,,,
2255,6,"Hai Phong","Production Worker","Member of Owners HH","Female",1980,"No",2005,"Yes","Yes","Urban","Married","Technical worker/professional secondary",4234,2003,"Yes","High school","Secondary school","Agriculture","Did not work",,,,,"Other/Not paid",6,8,,,4,,,"No","No","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
2257,6,"Hai Phong","Production Worker","Other","Male",1970,"Yes",1999,"Yes","Yes","Rural","Married","Secondary school",,,"Yes","None","None","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better salary","Combined",7,8,"Month",1800,1,"Yes",100,"No","No","No","No","No","No","Yes","Yes","Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",30,20,1984,2001
2277,3,"Hai Phong","Office Worker","Member of Owners HH","Female",1983,"Yes",2000,"Yes","Yes","Urban","Married","Technical worker/professional secondary",4234,2001,"No",,"Technical certificate/Elementary worker","Manufacturing and Construction","Did not work",,,,,"Time rate",7,8,"Month",1200,1,"Yes",300,"No","No","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",27,7,1990,
2277,6,"Hai Phong","Production Worker","Other","Male",1944,"Yes",9921,"Yes","Yes","Urban","Married","Technical worker/professional secondary",4284,1969,"No",,,,"Production Worker","SOE","Manufacturing and Construction","More than sufficient","Better use of skills/experience","Combined",7,8,"Month",1100,2,"Yes",300,"No","No","No","No","No","No","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,,,,,"Most important",,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Pemanent non-contained house",50,6,2001,
2277,1,"Hai Phong","Manager","Other","Male",1958,"Yes",1997,"Yes","Yes","Urban","Married","Technical worker/professional secondary",4221,1985,"No",,,,"Office Worker","Government","Services","Sufficient","Better salary","Percent of Sales",6,8,"Month",3000,3,"Yes",300,"No","No","No","No","No","No","No",,"Owner, who is a friend","None of the above",,,,,,,,,,,,,,"No","No","Help related to medicine","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",50,20,1987,2000
2278,6,"Hai Phong","Production Worker","Other","Male",1981,"Yes",2000,"No","No","Urban","Not married","High school",,,"Yes","High school","Secondary school","Services","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Closer to home","Combined",7,9,"Month",1400,1,"Yes",150,"No","No","No","No","No","No","Yes","Yes","Relative working in firm","On-the-job test (carried out by experienced worker)","No",,,,,,"Most important",,"Third most important",,"Second most important",,,"Yes","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
2283,6,"Hai Phong","Production Worker","Other","Male",1970,"Yes",2004,"Yes","No","Urban","Married","Secondary school",,,"Yes","Technical worker/professional secondary","None","Agriculture","Production Worker","Other","Manufacturing and Construction","Not sufficient","Better salary","Time rate",6,8,"Day",70,1,"Yes",400,"No","No","No","No","No","No","Yes","Yes","Through door to door visits","Several of the above",,,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Laid off","Yes","Yes","Yes","Yes","Yes","Yes","Pemanent non-contained house",90,13,2002,
2306,6,"Ha Tay","Production Worker","Other","Male",1985,"Yes",2005,"Yes","No","Urban","Not married","Secondary school",,,"No","Primary school","Primary school","Agriculture","Did not work",,,,,"Combined",7,8,"Month",1200,2,"Yes",100,"No","No","No","No","No","No","No",,"Through door to door visits","None of the above",,,,,,,,,,,"Most important",,,"No","No","Don't know","Yes","Yes","No","No","Yes","No",,,,,
2311,6,"Ha Tay","Production Worker","Member of Owners HH","Female",1959,"No",1986,"Yes","No","Urban","Married","Secondary school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Closer to home","Other/Not paid",6,5,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",120,21,1986,2001
2322,6,"Ha Tay","Production Worker","Other","Female",1970,"Yes",2003,"Yes","No","Urban","Married","Secondary school",,,"No","Primary school","Primary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Piece rate",5,8,"Month",800,2,"No",,"No","No","No","No","No","No","No",,"Through door to door visits","None of the above",,,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","No","No","No","No",,,,,
2322,4,"Ha Tay","Sales Worker","Member of Owners HH","Female",1960,"No",2001,"Yes","No","Urban","Married","Secondary school",,,"No","Primary school","Primary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",5,8,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
2328,6,"Ha Tay","Production Worker","Member of Owners HH","Female",1955,"No",1981,"Yes","No","Urban","Married","Secondary school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better social benefits","Other/Not paid",7,10,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Third most important",,"Second most important","Most important",,,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",70,17,1990,
2335,6,"Ha Tay","Production Worker","Member of Owners HH","Male",1957,"No",1987,"Yes","No","Urban","Married","Secondary school",,,"No","None","None","Agriculture","Office Worker","Government","Services","Sufficient","Closer to home","Other/Not paid",7,2,,,4,,,"No","No","No","No","No","No","No",,"Other","NA",,,,,,,"Most important",,,,,"Second most important",,"No","No","Don't know","No","Yes","No","No","Yes","Yes","Permanent self-contained house",100,5,2004,
2342,4,"Ha Tay","Sales Worker","Member of Owners HH","Female",1950,"Yes",1980,"Yes","No","Urban","Married","Primary school",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","No",,"Other","NA",,,,,,,,,,,,,,"No","No","Laid off","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",60,,,2003
2342,6,"Ha Tay","Production Worker","Member of Owners HH","Male",1982,"Yes",2005,"Yes","No","Urban","Married","High school",,,"No","Secondary school","Primary school","Agriculture","Did not work",,,,,"Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","No",,"Other","NA",,,,,,,,,,,,,,"No","No","Laid off","Yes","Yes","Yes","No","Yes","No",,,,,
2344,6,"Ha Tay","Production Worker","Owner","Male",1963,"Yes",1989,"Yes","No","Urban","Married","Technical worker without certificate",2252,1987,"No","High school","Primary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","More than sufficient","Better social benefits","Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","No","No","No","Yes","Permanent self-contained house",200,18,2004,2005
2351,6,"Ha Tay","Production Worker","Other","Male",1971,"Yes",2005,"Yes","No","Urban","Married","Secondary school",,,"No","Secondary school","Primary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better salary","Piece rate",7,8,"Month",1000,2,"Yes",100,"No","No","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,"Most important",,,,"Second most important",,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Pemanent non-contained house",70,12,1995,
2366,6,"Ha Tay","Production Worker","Member of Owners HH","Female",1949,"No",1994,"Yes","No","Urban","Not married","Primary school",,,"No","Secondary school","Secondary school","Manufacturing and Construction","Production Worker","Other","Manufacturing and Construction","Sufficient","Better social benefits","Time rate",7,8,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Third most important",,,"Second most important","Most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",165,20,1987,2006
2366,4,"Ha Tay","Sales Worker","Member of Owners HH","Female",1972,"No",1994,"Yes","No","Urban","Not married","High school",,,"No","Secondary school","Secondary school","Manufacturing and Construction","Production Worker","Other","Manufacturing and Construction","Sufficient","Better social benefits","Time rate",7,8,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Third most important",,,"Second most important","Most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",165,20,1987,2006
2373,6,"Ha Tay","Production Worker","Member of Owners HH","Female",1971,"Yes",1993,"Yes","No","Urban","Married","High school",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better social benefits","Other/Not paid",7,10,,,4,,,"No","No","No","No","No","No","No",,"Other","NA",,,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",136,17,1999,2005
2385,6,"Ha Tay","Production Worker","Other","Female",1983,"Yes",2006,"Yes","No","Rural","Married","Secondary school",,,"No","Secondary school","Primary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better for health","Time rate",7,8,"Month",450,2,"Yes",70,"No","No","No","No","No","No","No",,"Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,"Most important","Second most important",,,,,,"No","No","Don't know","Yes","Yes","No","No","No","No",,,,,
2388,6,"Ha Tay","Production Worker","Other","Male",1973,"Yes",1990,"Yes","No","Urban","Married","Secondary school",,,"Yes","High school","Primary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better social benefits","Piece rate",7,8,"Hour",1800,2,"No",,"Yes","No","No","No","No","No","No",,"Owner, who is a relative","Several of the above",,,,,,,"Most important",,,,"Second most important","Third most important",,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",80,7,1999,2002
2391,6,"Ha Tay","Production Worker","Other","Male",1957,"Yes",1997,"Yes","No","Urban","Married","Technical certificate/Elementary worker",,,"No","Primary school","Primary school","Agriculture","Production Worker","Other","Manufacturing and Construction","Sufficient","Better for health","Time rate",7,8,"Month",1400,2,,,"No","No","No","No","No","No","Yes","Yes","Owner, who is a relative","None of the above",,,,,,,"Second most important",,,"Third most important","Most important",,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",80,7,2000,
2405,4,"Ha Tay","Sales Worker","Member of Owners HH","Female",1968,"No",1989,"Yes","No","Urban","Married","High school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",6,10,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,,,,,"Most important",,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","Yes","Villa",250,20,,1993
2405,5,"Ha Tay","Service Worker","Other","Male",1971,"Yes",1989,"Yes","No","Urban","Married","Secondary school",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better social benefits","Time rate",5,8,"Month",1000,2,"No",,"No","No","No","No","No","No","No",,"Through door to door visits","None of the above",,,,,,,"Second most important",,,,"Most important",,,"No","No","Don't know","Yes","Yes","Yes","No","No","Yes","Pemanent non-contained house",100,36,,
2405,6,"Ha Tay","Production Worker","Other","Female",1966,"Yes",1989,"Yes","No","Urban","Married","Secondary school",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better social benefits","Time rate",5,8,"Month",1000,2,"No",,"No","No","No","No","No","No","No",,"Through door to door visits","None of the above",,,,,,,"Second most important",,,,"Most important",,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Pemanent non-contained house",100,41,,
2407,6,"Ha Tay","Production Worker","Other","Male",1975,"Yes",2007,"Yes","No","Urban","Married","Secondary school",,,"No","Secondary school","Primary school","Agriculture","Production Worker","Other","Agriculture","More than sufficient","Better salary","Time rate",7,8,"Month",850,1,"No",,"No","No","No","No","No","No","No",,"Relative working in firm","On-the-job test (carried out by experienced worker)",,,,,,,"Second most important",,"Most important",,"Third most important",,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","semi-permanent house",100,6,1999,
2407,4,"Ha Tay","Sales Worker","Member of Owners HH","Female",1969,"No",1993,"Yes","No","Urban","Married","Technical worker/professional secondary",3228,1998,"No","Secondary school","Primary school","Agriculture","Production Worker","Other","Agriculture","More than sufficient","Better salary","Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Second most important",,"Most important",,"Third most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",120,15,1992,1999
2409,6,"Ha Tay","Production Worker","Member of Owners HH","Female",1966,"No",1999,"Yes","No","Urban","Married","Secondary school",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",7,10,,,4,,,"No","No","No","No","No","No","Yes","Yes","Other","None of the above",,,,,,,"Third most important",,,,"Most important","Second most important",,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
2410,6,"Ha Tay","Production Worker","Other","Male",1986,"Yes",2005,"No","No","Urban","Not married","Secondary school",,,"Yes","Primary school","Primary school","Agriculture","Production Worker","Other","Manufacturing and Construction","Sufficient","Better salary","Combined",6,8,"Month",1200,1,"Yes",50,"No","Yes","No","Yes","No","Yes","Yes","Yes","Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,,"Second most important","Third most important",,,"No","No","Don't know","No","No","No","No","No","No",,,,,
2414,6,"Ha Tay","Production Worker","Other","Female",1989,"Yes",2006,"Yes","No","Urban","Not married","None",,,"No","High school","High school","Agriculture","Did not work",,,,,"Time rate",7,8.5,"Month",700,4,,,"No","No","No","No","No","No","No",,"Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,"Most important","Second most important","Third most important",,,,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
2424,6,"Ha Tay","Production Worker","Other","Male",1987,"Yes",2005,"No","Yes","Urban","Not married","Secondary school",,,"Yes","Secondary school","Secondary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better salary","Time rate",6,8,"Month",1100,1,"Yes",50,"No","Yes","No","Yes","No","Yes","Yes","Yes","Friend/acquaintance working in firm","Several of the above",,,,,,,"Most important",,,"Third most important","Second most important",,,"No","No","Don't know","No","No","No","No","No","No",,,,,
2430,6,"Ha Tay","Production Worker","Other","Male",1973,"Yes",2001,"Yes","No","Urban","Married","High school",,,"No","None","None","Agriculture","Production Worker","Private firm","Manufacturing and Construction","More than sufficient","Better use of skills/experience","Time rate",6,8,"Day",60,3,"Yes",50,"Yes","No","No","No","No","No","Yes","Yes","Other","None of the above",,,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Don't know","Yes","Yes","No","No","No","Yes","Permanent self-contained house",250,34,1971,2006
2430,4,"Ha Tay","Sales Worker","Member of Owners HH","Female",1972,"No",1998,"Yes","No","Urban","Married","Secondary school",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","Yes","Yes","Other","None of the above",,,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Nothing","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",380,36,2005,2005
2435,4,"Ha Tay","Sales Worker","Other","Female",1984,"Yes",2005,"Yes","No","Urban","Not married","High school",,,"No","High school","Secondary school","Agriculture","Production Worker","Private firm","Agriculture","Sufficient","Better social benefits","Time rate",6,8,"Month",800,2,"Yes",200,"No","No","No","No","No","No","No",,"Relative working in firm","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
2435,2,"Ha Tay","Professional Worker","Other","Male",1981,"Yes",2006,"Yes","No","Rural","Not married","College/University/post-graduate",5234,2004,"No","High school","High school","Agriculture","Did not work",,,,,"Time rate",6,8,"Month",1200,2,"Yes",200,"No","No","No","No","No","No","No",,"Owner, who is a friend","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,,"Second most important","Third most important",,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
2435,1,"Ha Tay","Manager","Other","Male",1977,"Yes",2005,"Yes","No","Urban","Married","Technical certificate/Elementary worker",,,"No","High school","Secondary school","Agriculture","Production Worker","Private firm","Agriculture","Sufficient","Better social benefits","Time rate",7,8,"Month",1200,2,"Yes",200,"No","No","No","No","No","No","No",,"Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
2435,6,"Ha Tay","Production Worker","Other","Male",1979,"Yes",2005,"Yes","No","Urban","Married","High school",,,"No","Secondary school","Primary school","Agriculture","Production Worker","Private firm","Agriculture","Sufficient","Better social benefits","Piece rate",7,8,"Month",900,2,"Yes",200,"No","No","No","No","No","No","No",,"Owner, who is a friend","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Pemanent non-contained house",100,28,1975,2002
2435,3,"Ha Tay","Office Worker","Other","Female",1978,"Yes",2005,"Yes","No","Urban","Married","High school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Private firm","Agriculture","Sufficient","Better social benefits","Time rate",6,8,"Month",800,2,"Yes",200,"No","No","No","No","No","No","No",,"Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Second most important",,,,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Pemanent non-contained house",120,25,1970,2006
2436,6,"Ha Tay","Production Worker","Other","Male",1983,"Yes",2004,"No","No","Urban","Not married","Secondary school",,,"Yes","Primary school","Primary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Time rate",6,8,"Month",1100,1,"Yes",50,"No","Yes","No","Yes","No","No","Yes","No","Through door to door visits","Several of the above",,,,,,,"Most important",,,"Third most important","Second most important",,,"No","No","Laid off","No","No","No","No","No","No",,,,,
2462,6,"Phu Tho","Production Worker","Member of Owners HH","Female",1982,"Yes",2000,"Yes","No","Urban","Married","Secondary school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Other","Services","More than sufficient","Better for health","Other/Not paid",7,7,,,4,,,"No","No","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,"Second most important","Most important",,,"Third most important","No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",80,19,1988,
2469,6,"Phu Tho","Production Worker","Member of Owners HH","Male",1957,"Yes",1978,"Yes","No","Urban","Married","Secondary school",,,"Yes","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",6,6,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Most important",,,,,,,"No","No","Nothing","No","Yes","No","No","No","Yes","Permanent self-contained house",75,27,2006,2006
2474,6,"Phu Tho","Production Worker","Other","Male",1980,"Yes",2004,"Yes","No","Urban","Married","Technical worker/professional secondary",4052,2003,"No","Secondary school","Secondary school","Services","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better for health","Piece rate",6,8,"Month",1500,1,"Yes",1000,"Yes","No","No","No","No","No","Yes","Yes","Other","None of the above",,,,,,,"Most important",,,"Third most important","Second most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
2487,6,"Phu Tho","Production Worker","Other","Male",1970,"Yes",1995,"Yes","No","Urban","Married","Secondary school",,,"No","Primary school","Primary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better salary","Combined",6,8,"Month",1500,1,"Yes",100,"Yes","No","No","No","No","No","Yes","Yes","Through door to door visits","None of the above",,,,,,,"Second most important",,"Third most important",,"Most important",,,"No","No","Don't know","Yes","Yes","No","No","No","Yes","Pemanent non-contained house",60,7,2000,
2489,6,"Phu Tho","Production Worker","Member of Owners HH","Female",1967,"No",1998,"No","No","Rural","Married","Secondary school",,,"No","Secondary school","Primary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better use of skills/experience","Other/Not paid",6,10,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Laid off","No","Yes","Yes","No","Yes","No",,,,,
2491,6,"Phu Tho","Production Worker","Member of Owners HH","Female",1963,"Yes",1991,"Yes","Yes","Rural","Married","None",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",7,10,"Month",,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Most important",,"Second most important","Third most important",,,,"No","No","Don't know","No","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",150,30,1994,2005
2505,6,"Phu Tho","Production Worker","Owner","Female",1953,"Yes",1997,"Yes","No","Urban","Married","Primary school",,,"No","None","None","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better use of skills/experience","Other/Not paid",7,10,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Most important",,"Second most important","Third most important",,,,"No","No","Nothing","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",150,20,1996,2004
2507,6,"Phu Tho","Production Worker","Member of Owners HH","Male",1978,"No",2003,"Yes","No","Urban","Married","High school",,,"No","Primary school","Primary school","Agriculture","Sales Worker","Private firm","Services","Sufficient","Better use of skills/experience","Other/Not paid",3,4,,,4,,,"No","No","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,"Second most important","Third most important","Most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
2518,6,"Phu Tho","Production Worker","Other","Male",1972,"Yes",2004,"Yes","No","Urban","Married","Secondary school",,,"No","None","None","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better salary","Piece rate",7,8,"Month",1500,1,"Yes",2000,"Yes","No","No","No","No","No","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,"Most important",,,"Third most important","Second most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",80,20,1999,
