"Variable","Label"
"q124db_11","Who did the adaption?"
"q125_11","Planning to start up new projects/product lines in the near future"
"q125b_11","Major problems in starting up new projects"
"q126_11","Having major constraints to growth"
"q126a_11","Most important constraints to growth"
"q127a_11","Crisis adversely affected business"
"q127aa_11","Temporary or permanent effect of the crisis"
"q127b_11","Positive consequences of the crisis"
"q127ba_11","Most important positive consequence of the crisis"
"q128_11","Received some sort of government assistance in 2010"
"q128b1_11","Received government assistance in 2010 for Incentives"
"q128b2_11","Received government assistance in 2010 for VDB of VBSP loans"
"q128b3_11","Received government assistance in 2010 for Human Resource Training Programme"
"q128b4_11","Received government assistance in 2010 for National Key Trade Promotion Programm"
"q128b5_11","Received government assistance in 2010 for Quality and Technology Improvement Pr"
"q128b6_11","Received government assistance in 2010 for other type of government assistance"
"q128c1_11","Administrative level of assistance for Investment Incentives"
"q128c2_11","Administrative level of assistance for VDB of VBSP loans"
"q128c3_11","Administrative level of assistance for Human Resource Training Programme"
"q128c4_11","Administrative level of assistance for National Key Trade Promotion Programme"
"q128c5_11","Administrative level of assistance for Quality and Technology Improvement Progra"
"q128c6_11","Administrative level of assistance for other type of government assistance"
"q128d1_11","How did you get in contact with the authorities for Investment Incentives"
"q128d2_11","How did you get in contact with the authorities for VDB of VBSP loans"
"q128d3_11","How did you get in contact with the authorities for Human Resource Training Prog"
"q128d4_11","How did you get in contact with the authorities for National Key Trade Promotion"
"q128d5_11","How did you get in contact with the authorities for Quality and Technology Impro"
"q128d6_11","How did you get in contact with the authorities for other type of government ass"
"q128a_11","Did you have to pay communication fees in order to obtain the assistance?"
"q128e1_11","Bribe for Investment Incentives"
"q128e2_11","Bribe for VDB of VBSP loans"
"q128e3_11","Bribe for Human Resource Training Programme"
"q128e4_11","Bribe for National Key Trade Promotion Programme"
"q128e5_11","Bribe for Quality and Technology Improvement Programmes"
"q128e6_11","Bribe for other type of government assistance"
"q128f1_11","The impact of Investment Incentives"
"q128f2_11","The impact of VDB of VBSP loans"
"q128f3_11","The impact of Human Resource Training Programme"
"q128f4_11","The impact of National Key Trade Promotion Programme"
"q128f5_11","The impact of Quality and Technology Improvement Programmes"
"q128f6_11","The impact of other type of government assistance"
"q129b1_11","Business Registration Application"
"q129b2_11","Social insurance registration certificate"
"q129b3_11","Investment certificate"
"q129b4_11","Environmental standards certificate"
"q129b5_11","Fire prevention certificate"
"q129b6_11","Technology transfer certificate"
"q129b7_11","License to operate overseas accounts"
"q129c1_11","Time to obtain Business Registration Application"
"q129c2_11","Time to obtain Social insurance registration certificate"
"q129c3_11","Time to obtain Investment certificate"
"q129c4_11","Time to obtain Environmental standards certificate"
"q129c5_11","Time to obtain Fire prevention certificate"
"q129c6_11","Time to obtain Technology transfer certificate"
"q129c7_11","Time to obtain License to operate overseas accounts"
"q130b01_11","Enterprise law"
"q130b02_11","Cooperative law"
"q130b03_11","Labour code"
"q130b04_11","Customs law"
"q130b05_11","Insurance law"
"q130b06_11","Tax law"
"q130b07_11","Environmental law"
"q130b08_11","Land law"
"q130b09_11","Investment law"
"q130b10_11","Social Insurance Law"
"q130b11_11","Gender equality law"
"q131a_11","Times inspected by policy compliance inspections (labour, tax, etc.)"
"q131b_11","Times inspected by technical compliance inspections (environmental, fire, etc.)"
"q131c_11","Times inspected by other inspections (after accidents etc.)"
"q132_11","Most important way for the authorities to help the enterprise expand and increas"
