id,wid_13,wid_in_11,eq2_13,eqd1a_13,eqd2_13,eqd3_13,eqd4_13,eqd5_13,eqd6_13,eqd7_13,eqd8_13,eqd9_13,eqd10_13,eqd11_13,eqd12_13,eqe1_13,eqe2_13,eqe3_13,eqe4_13,eqe5_13,eqe6_13,eqe7_13,eqe8_13,eqe8a_13,eqe9_13,eqe9a_13,eqe10_13,eqe10a_13,eqe11_13,eqe12_13,eqe13_13,eqf1a_13,eqf1b_13,eqf1c_13,eqf2_13,eqf3_13,eqf4_13,eqg1a_13,eqg1b_13,eqg2a_13,eqg2b_13,eqg3a1_13,eqg3a2_13,eqg3b1_13,eqg3b2_13,eqg3c1_13,eqg3c2_13,eqg4_13,eqg5a_13,eqg5b_13,eqg6_13,eqg7_13,eqg8_13,eqg9a_13,eqg9b_13,eqg9c_13,eqg9d_13,eqg9e_13,eqg9f_13,eqg9g_13,eqg9h_13,eqg9i_13,eqg10a_13,eqg10b_13,eqg11_13,eqg12_13,eqg13_13,eqg14_13,eqh1_13,eqh2_13,eqi1_13,eqi2_13,eqi3_13,eqi4_13,eqi5_13,eqi6_13,eqi7_13,eqi8_13,eqj1a_13,eqj1ba_13,eqj1bb_13,eqj1bc_13,eqj1bd_13,eqj1be_13,eqj1bf_13,eqj1bg_13,eqj2_13,eqj3_13,eqj4_13,eqk1a_13,eqk1b_13,eqk1c_13,eqk1d_13,eqk1e_13,eqk2a_13,eqk2b_13,eqk2c_13,eqk2d_13,eqk2e_13,eqk2f_13
2651,1,1,Quang Nam,1,Production Worker,"Relative of owner, but not living in the same HH",Female,1959,Yes,No,1990,Yes,,Yes,Married,High school,,,High school,Agriculture,High school,Agriculture,0,,0,,0,,No,No,,Service Worker,SOE,Services,12,Sufficient,Closer to home,Combined,In-Kind,6,8,Month,2500,Month,1500,Month,1200,No,Higher,Yes,Yes,1000,No,No,No,No,No,Yes,No,No,No,No,No,,I prefer to save up myself,No,No,,"Owner, who is a relative",None of the above,,,,,,,,,No,,,Most important,Second most important,,,,No,Yes,Nothing,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,100,16,1997,2012
2651,2,2,Quang Nam,2,Production Worker,"Relative of owner, but not living in the same HH",Female,1973,Yes,No,2008,Yes,,Yes,Married,High school,,,Primary school,Agriculture,High school,Agriculture,0,,0,,0,,No,No,,Did not work,,,,,,NA,In-Kind,6,8,Month,2500,Month,1500,Month,1200,No,Higher,Yes,Yes,1000,No,No,No,No,No,Yes,No,No,No,No,No,,Not necessary at moment,No,No,,"Owner, who is a relative",None of the above,,,,,,,,,No,,,Most important,Second most important,,,,No,Yes,Nothing,Yes,Yes,Yes,Yes,Yes,No,Unsettled house and other,60,7,2006,
2687,1,1,Quang Nam,1,Production Worker,Member of Owners HH,Female,1986,Yes,No,2007,Yes,,Yes,Not married,Secondary school,,,High school,Agriculture,Primary school,Services,1,30,0,,0,,Yes after off-the-job training,Yes,Yes,Did not work,,,,,,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,No,,"Owner, who is a relative",None of the above,,,,,,,,,,,Most important,,Second most important,,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,No,semi-permanent house,80,27,1999,2013
2693,1,1,Quang Nam,1,Production Worker,Other,Male,1960,Yes,No,2010,Yes,,Yes,Married,Secondary school,,,Primary school,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Agriculture,0,Sufficient,Closer to home,Combined,Cash,6,8,Month,3500,Month,2500,,,Yes,Higher,Yes,Yes,500,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Procedures too complicated,No,No,,Friend/acquaintance working in firm,None of the above,,,,,,,,,No,,,Second most important,,Most important,,,No,No,Don't know,No,Yes,Yes,No,Yes,Yes,Permanent self-contained house,120,6,2007,
2693,2,2,Quang Nam,2,Production Worker,Other,Male,1983,No,No,2010,Yes,,Yes,Married,High school,,,Primary school,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Agriculture,0,Sufficient,Closer to home,Combined,Cash,6,8,Month,3500,Month,2500,,,Yes,Higher,Yes,Yes,100,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Not necessary at moment,No,No,,Friend/acquaintance working in firm,None of the above,,,,,,,,,No,,,Second most important,,Most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,200,5,2008,
2695,2,9,Quang Nam,9,Production Worker,Other,Female,1991,Yes,No,2009,Yes,,Yes,Not married,Technical level without certificate,,,Secondary school,Agriculture,Secondary school,Agriculture,0,,0,,1,170,Yes after informal training,No,,Did not work,,,,,,Combined,Cash,6,8,Month,3000,Month,2500,,,Yes,Higher,Yes,Yes,500,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,,,No,Third most important,,Most important,Second most important,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,No,semi-permanent house,100,22,1991,2011
2695,1,1,Quang Nam,1,Production Worker,Other,Male,1972,Yes,No,1992,Yes,,Yes,Married,Technical level without certificate,,,Primary school,Manufacturing and Construction,Secondary school,Agriculture,0,,0,,1,170,Yes after informal training,No,,Did not work,,,,,,Combined,Cash,6,8,Month,3000,Month,1500,,,Yes,Higher,Yes,Yes,500,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,Third most important,,Most important,Second most important,,,,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,60,42,,2009
2704,1,2,Quang Nam,2,Professional Worker,Other,Male,1979,Yes,Yes,2002,Yes,,No,Married,University and higher,5252,2003,None,Manufacturing and Construction,Technical level without certificate,Manufacturing and Construction,0,,0,,0,,No,No,,Did not work,,,,,,Time rate,Cash,6,8,Month,4600,Month,3400,,,Yes,Higher,Yes,Yes,4000,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,No,,Relative working in firm,Interview,,,,,,,,,No,Third most important,,Second most important,,Most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,140,15,1998,
2704,6,3,Quang Nam,3,Manager,Member of Owners HH,Female,1981,Yes,Yes,2005,Yes,,No,Married, Professional secondary,4246,2003,None,Manufacturing and Construction,Technical level without certificate,Manufacturing and Construction,0,,0,,0,,No,No,,Did not work,,,,,,NA,9,6,8,,,,,,,,9,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,No,,Relative working in firm,Interview,,,,,,,,,No,Second most important,,Most important,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,semi-permanent house,120,11,2002,
2704,2,9,Quang Nam,9,Sales Worker,Member of Owners HH,Female,1985,Yes,Yes,2007,Yes,,Yes,Married,Secondary school,,,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Sales Worker,Private firm,Services,2,Sufficient,Closer to home,NA,9,6,8,,,,,,,,9,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,No,,Friend/acquaintance working in firm,Interview,No,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,120,12,2001,
2704,3,9,Quang Nam,9,Service Worker,"Relative of owner, but not living in the same HH",Female,1980,Yes,Yes,2005,Yes,,Yes,Married,Primary school,,,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,4,Sufficient,Better salary,Time rate,Cash,6,8,Month,2500,Month,1700,,,Yes,Higher,Yes,Yes,1200,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,No,,Relative working in firm,None of the above,No,,,,,,,,No,Most important,,Second most important,,,Third most important,,No,No,Don't know,No,Yes,Yes,Yes,Yes,Yes,Unsettled house and other,100,10,2003,
2704,4,9,Quang Nam,9,Production Worker,Other,Male,1981,Yes,Yes,2009,Yes,,Yes,Married,Secondary school,,,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Services,5,Sufficient,Better salary,Time rate,Cash,6,8,Month,3200,Month,2400,,,Yes,Higher,Yes,Yes,2000,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,No,,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),No,,,,,,,,No,Most important,Second most important,Third most important,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,100,13,2000,
2704,5,9,Quang Nam,9,Production Worker,Other,Male,1984,Yes,Yes,2009,Yes,,Yes,Married,Secondary school,,,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Manufacturing and Construction,5,Sufficient,Better salary,Time rate,Cash,6,8,Month,3200,Month,2400,,,Yes,Higher,Yes,Yes,2000,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,No,,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),No,,,,,,,,No,Most important,Second most important,Third most important,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,140,13,2000,
2705,1,9,Quang Nam,9,Production Worker,Member of Owners HH,Male,1990,Yes,No,2007,Yes,,Yes,Not married,Secondary school,,,Secondary school,Manufacturing and Construction,Primary school,Services,0,,0,,1,1,No,No,,Did not work,,,,,,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,Other,No,Yes,Yes,Relative working in firm,None of the above,,,,,,,,,No,,Third most important,Most important,Second most important,,,,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,80,26,1987,
2706,2,2,Quang Nam,2,Production Worker,Member of Owners HH,Female,1975,Yes,No,2001,Yes,,Yes,Married,High school,,,High school,Manufacturing and Construction,High school,Manufacturing and Construction,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,3,Sufficient,Closer to home,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,,Not necessary at moment,No,No,,,9,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,Yes,Nothing,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,180,62,1950,2008
2706,1,1,Quang Nam,1,Production Worker,Member of Owners HH,Female,1976,Yes,No,2001,Yes,,Yes,Married,High school,,,High school,Manufacturing and Construction,High school,Manufacturing and Construction,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,5,Sufficient,Closer to home,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,Yes,No,No,No,No,No,,Not necessary at moment,No,No,,,9,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,Yes,Nothing,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,180,62,1950,2008
2706,3,3,Quang Nam,3,Manager,Member of Owners HH,Female,1955,Yes,No,2001,Yes,,Yes,Married,High school,,,Primary school,Services,High school,Services,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,10,Sufficient,Closer to home,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,,Not necessary at moment,No,No,,,9,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,Yes,Nothing,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,180,62,1950,2008
2708,1,1,Quang Nam,1,Production Worker,Other,Male,1959,Yes,No,1994,Yes,,No,Married, Professional secondary,4251,1979,College,Services,College,Services,0,,0,,0,,No,No,,Production Worker,Government,Manufacturing and Construction,1,More than sufficient,Other,Time rate,Cash,5,8,Month,4000,Month,500,,,No,Same,Yes,Yes,500,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,,,Yes,Second most important,Third most important,,,Most important,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,50,20,1975,
2713,1,9,Quang Nam,9,Production Worker,Member of Owners HH,Male,1987,Yes,No,2011,Yes,,Yes,Married,Vocational elementary,2284,2012,High school,Services,Primary school,Services,0,,0,,1,30,No,No,,Did not work,,,,,,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,,,"Owner, who is a relative",None of the above,,,,,,,,,,Second most important,,Third most important,,Most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,80,8,2005,
2717,1,9,Quang Nam,9,Office Worker,Other,Female,1982,Yes,Yes,2010,Yes,,Yes,Married,Vocational secondary,4234,2004,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Did not work,,,,,,Time rate,Cash,6,8,Month,3800,Month,2500,,,No,Same,No,Yes,500,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,I prefer to save up myself,No,No,,Other,Interview,,,,,,,,,No,Second most important,,Third most important,,Most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,75,10,2002,2010
2717,2,9,Quang Nam,9,Production Worker,"Relative of owner, but not living in the same HH",Male,1984,Yes,Yes,2010,Yes,,Yes,Married,Secondary school,,,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,1,Sufficient,Better salary,Piece rate,Cash,6,8,Month,4000,Month,3000,,,No,Same,No,Yes,500,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Procedures too complicated,Yes,No,,"Owner, who is a relative",None of the above,,,,,,,,,Yes,Second most important,,Third most important,,Most important,,,No,No,Don't know,No,Yes,Yes,No,Yes,Yes,semi-permanent house,60,12,2000,
2719,1,9,Quang Nam,9,Production Worker,Member of Owners HH,Female,1975,Yes,No,1999,Yes,,Yes,Married,Secondary school,,,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,1,More than sufficient,Other,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,Too expensive,No,No,,"Owner, who is a relative",None of the above,,,,,,,,,,Second most important,,Most important,,,,,No,No,Don't know,No,Yes,Yes,No,Yes,Yes,semi-permanent house,80,6,2007,
2721,2,2,Quang Nam,2,Production Worker,"Relative of owner, but not living in the same HH",Male,1973,Yes,No,2009,Yes,,Yes,Married,Secondary school,,,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Agriculture,4,Sufficient,Closer to home,Combined,Cash,6,7,Month,4000,Month,2700,,,No,Higher,Yes,Yes,500,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,No,,"Owner, who is a relative",None of the above,,,,,,,,,No,Second most important,,Most important,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Unsettled house and other,100,5,2006,
2721,1,1,Quang Nam,1,Production Worker,"Relative of owner, but not living in the same HH",Female,1948,Yes,No,1993,Yes,,Yes,Married,Primary school,,,Primary school,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Agriculture,20,Sufficient,Better for health,Combined,Cash,6,7,Month,3000,Month,1500,,,No,Higher,Yes,Yes,500,No,No,No,No,No,Yes,No,No,No,No,No,No,Procedures too complicated,Yes,No,,"Owner, who is a relative",None of the above,,,,,,,,,No,Second most important,,Most important,,,,,No,No,Don't know,No,Yes,Yes,No,Yes,Yes,Unsettled house and other,100,3,1981,2012
2724,5,5,Quang Nam,5,Production Worker,Other,Male,1971,Yes,No,2010,Yes,,No,Married,Technical level without certificate,,,Secondary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Manufacturing and Construction,6,More than sufficient,Better salary,Time rate,Cash,6,8,Month,5000,Month,1000,,,Yes,Same,Yes,Yes,1000,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,Other,On-the-job test (carried out by experienced worker),,,,,,,,,Yes,Most important,Third most important,,,Second most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,120,15,,
2724,2,2,Quang Nam,2,Professional Worker,Other,Male,1981,Yes,No,2009,Yes,,Yes,Married,Vocational college,5051,2002, Professional secondary,Manufacturing and Construction,High school,Services,0,,0,,1,30,Yes after on-the-job training,No,,Office Worker,Private firm,Manufacturing and Construction,5,Sufficient,Better use of skills/experience,Time rate,Cash,6,8,Month,5000,Month,3000,,,Yes,Same,Yes,Yes,1000,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,Interview,,,,,,,,,Yes,Most important,Third most important,,,Second most important,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,No,semi-permanent house,200,16,,
2724,1,1,Quang Nam,1,Manager,"Relative of owner, but not living in the same HH",Male,1982,Yes,No,2004,Yes,,Yes,Married,Technical level without certificate,,,Secondary school,Services,Primary school,Services,0,,0,,1,30,Yes after on-the-job training,No,,Production Worker,Private firm,Manufacturing and Construction,2,Sufficient,Closer to home,Time rate,Cash,6,8,Month,5000,Month,1500,,,Yes,Same,Yes,Yes,1000,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,"Owner, who is a relative",Interview,,,,,,,,,Yes,Most important,Third most important,,,Second most important,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,semi-permanent house,150,8,,
2724,3,3,Quang Nam,3,Sales Worker,Other,Male,1984,Yes,No,2009,Yes,,Yes,Married,Vocational college,5051,2004, Professional secondary,Manufacturing and Construction,High school,Services,0,,0,,0,0,No,No,,Sales Worker,Private firm,Manufacturing and Construction,3,Sufficient,Better use of skills/experience,Time rate,Cash,6,8,Month,5000,Month,3000,,,Yes,Same,Yes,Yes,1000,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,Interview,,,,,,,,,Yes,Most important,Third most important,,,Second most important,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,semi-permanent house,220,5,,
2724,4,4,Quang Nam,4,Production Worker,Other,Male,1971,Yes,No,2010,Yes,,No,Married,Technical level without certificate,,,Secondary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Manufacturing and Construction,0,More than sufficient,Better salary,Time rate,Cash,6,8,Month,5000,Month,300,,,Yes,Same,Yes,Yes,1000,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Not necessary at moment,No,Yes,Yes,Other,On-the-job test (carried out by experienced worker),,,,,,,,,Yes,Most important,Third most important,,,Second most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,120,24,,
2757,1,1,HCMC,1,Manager,"Relative of owner, but not living in the same HH",Male,1980,Yes,No,2008,Yes,,Yes,Married,Vocational secondary,4234,2000,High school,Services,High school,Services,1,10,0,,1,10,No,No,,Did not work,,,,,,Time rate,Cash,6,8,Month,4500,Month,3500,,,Yes,Higher,Yes,Yes,500,No,No,Yes,No,No,No,No,No,No,No,No,No,Low quality of services,Yes,,,"Owner, who is a relative",Interview,,,,,,,,,No,Second most important,,Most important,Third most important,,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,100,10,1980,
2757,4,9,HCMC,9,Production Worker,Other,Male,1970,Yes,No,2012,Yes,,Yes,Married,Technical level without certificate,,,,,,,1,10,0,,1,10,No,No,,Production Worker,Private firm,Manufacturing and Construction,15,Sufficient,Better salary,Time rate,Cash,6,8,Month,2500,Month,2000,,,Yes,Higher,Yes,Yes,200,No,No,Yes,No,No,No,No,No,No,No,No,No,Low quality of services,No,,,Relative working in firm,On-the-job test (carried out by experienced worker),,,,,,,,,No,Second most important,,Most important,Third most important,,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,50,5,2005,
2757,3,9,HCMC,9,Production Worker,"Relative of owner, but not living in the same HH",Male,1985,Yes,No,2011,Yes,,Yes,Married,Technical level without certificate,,,,,,,1,10,0,,1,10,No,No,,Production Worker,Private firm,Manufacturing and Construction,3,Not sufficient,Better salary,Time rate,Cash,6,8,Month,2500,Month,2000,,,Yes,Higher,Yes,Yes,200,No,No,Yes,No,No,No,No,No,No,No,No,No,Low quality of services,No,,,"Owner, who is a relative",On-the-job test (carried out by experienced worker),,,,,,,,,No,Second most important,,Most important,Third most important,,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,40,5,1999,
2757,2,9,HCMC,9,Professional Worker,"Relative of owner, but not living in the same HH",Female,1987,Yes,No,2011,Yes,,Yes,Not married,College,4246,2009,High school,Services,High school,Services,1,10,0,,1,10,No,No,,Did not work,,,,,,Time rate,Cash,6,8,Month,3000,Month,2500,,,Yes,Higher,Yes,Yes,300,No,No,Yes,No,No,No,No,No,No,No,No,No,Low quality of services,No,,,"Owner, who is a relative",Interview,,,,,,,,,No,Second most important,,Most important,Third most important,,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,80,15,1975,
2772,2,2,HCMC,2,Sales Worker,Other,Male,1983,Yes,No,2009,Yes,,Yes,Married,High school,,,None,Agriculture,None,Services,2,10,0,,0,,No,Yes,Yes,Sales Worker,Private firm,Manufacturing and Construction,5,Sufficient,Closer to home,Piece rate,Cash,6,8,Month,4500,Month,3500,Month,6000,Yes,Same,Yes,Yes,3000,No,No,No,No,No,Yes,No,No,No,No,No,No,Too few years to contribute,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,No,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Unsettled house and other,40,16,1997,2010
2772,1,1,HCMC,1,Manager,Member of Owners HH,Female,1981,Yes,No,2010,Yes,,Yes,Married, Professional secondary,4234,1990,None,Agriculture,None,Services,2,10,0,,0,,No,Yes,Yes,Office Worker,Private firm,Manufacturing and Construction,8,More than sufficient,Better salary,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,"Owner, who is a relative",Interview,No,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Unsettled house and other,60,14,1999,2001
2772,3,3,HCMC,3,Production Worker,Other,Male,1980,Yes,No,2009,Yes,,Yes,Married,Technical level without certificate,,,None,Services,None,Services,1,7,0,,0,,No,Yes,Yes,Production Worker,Private firm,Manufacturing and Construction,10,Sufficient,Better salary,Combined,Cash,6,8,Month,3000,Month,2700,Month,4000,Yes,Same,Yes,Yes,2000,No,No,No,No,No,Yes,No,No,No,No,No,No,Not necessary at moment,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,No,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Unsettled house and other,46,33,1956,2003
2772,4,4,HCMC,4,Production Worker,Other,Male,1978,Yes,No,2009,Yes,,Yes,Married,Technical level without certificate,,,None,Services,None,Services,1,7,0,,0,,No,Yes,Yes,Production Worker,Private firm,Manufacturing and Construction,8,Sufficient,Better salary,Combined,Cash,6,8,Month,3000,Month,2700,Month,4000,Yes,Same,Yes,Yes,2000,No,No,No,No,No,Yes,No,No,No,No,No,No,Not necessary at moment,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,No,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Unsettled house and other,72,18,1969,2005
2805,2,9,HCMC,9,Production Worker,Other,Male,1984,Yes,Yes,2005,Yes,,Yes,Married,Vocational elementary,2251,2006,High school,Agriculture,Primary school,Manufacturing and Construction,0,,0,,0,,No,No,,Service Worker,Private firm,Services,1,Sufficient,Better working condition,Time rate,Cash,5,8,Month,8000,Month,5000,,,No,Same,No,No,,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,,,Relative working in firm,On-the-job test (carried out by experienced worker),Yes,2010,No,,Secures that employer pays social benifits,No,No,,No,,,Most important,Second most important,Third most important,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,Pemanent non-contained house,89,10,2003,
2805,1,9,HCMC,9,Professional Worker,Other,Female,1972,Yes,Yes,2010,Yes,,Yes,Married,University and higher,5234,2010,None,Services,High school,Services,0,,0,,0,,No,No,,Office Worker,Private firm,Services,4,Sufficient,Better working condition,Time rate,Cash,5,8,Month,8000,Month,5000,,,No,Same,No,No,,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,,,Through employment agency,Interview,Yes,2009,No,,Secures that employer pays social benifits,No,No,,No,Second most important,Most important,,Third most important,,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,200,5,2008,
2805,3,9,HCMC,9,Production Worker,Other,Male,1989,Yes,Yes,2009,Yes,,Yes,Married,Vocational elementary,2251,2008,High school,Services,High school,Manufacturing and Construction,0,,0,,0,,No,No,,Production Worker,Private firm,Services,1,Sufficient,Better use of skills/experience,Time rate,Cash,5,8,Month,8000,Month,5000,,,No,Same,No,No,,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,,,Through employment agency,On-the-job test (carried out by experienced worker),Yes,2010,No,,Secures that employer pays social benifits,No,No,,No,,,Most important,Second most important,Third most important,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,80,2,2011,
2805,4,9,HCMC,9,Service Worker,Other,Male,1978,Yes,Yes,2011,Yes,,Yes,Married,High school,,,High school,Agriculture,None,Manufacturing and Construction,0,,0,,0,,No,No,,Service Worker,Private firm,Services,8,Sufficient,Other,Time rate,Cash,5,8,Month,8000,Month,5000,,,No,Same,No,No,,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,No,,,"Owner, who is a friend",None of the above,Yes,2005,No,,Secures that employer pays social benifits,No,No,,No,,,Most important,,,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,Unsettled house and other,50,2,2010,
2829,3,9,HCMC,9,Production Worker,Other,Male,1982,Yes,Yes,2010,Yes,,No,Married,Vocational secondary,4051,2005,None,Agriculture,None,Agriculture,3,15,0,,0,,Yes after on-the-job training,Yes,Yes,Production Worker,Other,Manufacturing and Construction,5,Sufficient,Better salary,Time rate,Cash,6,8,Month,3780,Month,2250,Month,2100,Yes,Higher,Yes,Yes,5000,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Other,Yes,No,,Friend/acquaintance working in firm,Interview,Yes,2010,Yes,50,More job security,No,No,,No,,Third most important,Most important,,,Second most important,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,semi-permanent house,38,17,1996,2005
